DateTime,Temperature,Humidity,Wind Speed,load_index
2017-01-01 00:00:00,6.559000000,73.800000000,0.083000000,100.912387923
2017-01-01 00:10:00,6.414000000,74.500000000,0.083000000,99.329481047
2017-01-01 00:20:00,6.313000000,74.500000000,0.080000000,97.154888366
2017-01-01 00:30:00,6.121000000,75.000000000,0.083000000,93.839184213
2017-01-01 00:40:00,5.921000000,75.700000000,0.081000000,91.204397458
2017-01-01 00:50:00,5.853000000,76.900000000,0.081000000,89.084999385
2017-01-01 01:00:00,5.641000000,77.700000000,0.080000000,87.316831011
2017-01-01 01:10:00,5.496000000,78.200000000,0.085000000,85.352891829
2017-01-01 01:20:00,5.678000000,78.100000000,0.081000000,83.151776279
2017-01-01 01:30:00,5.491000000,77.300000000,0.082000000,81.693520553
2017-01-01 01:40:00,5.516000000,77.500000000,0.081000000,80.200053126
2017-01-01 01:50:00,5.471000000,76.700000000,0.083000000,79.028247426
2017-01-01 02:00:00,5.059000000,78.600000000,0.081000000,77.792921741
2017-01-01 02:10:00,4.968000000,78.800000000,0.084000000,75.745394365
2017-01-01 02:20:00,4.975000000,78.900000000,0.083000000,74.777517789
2017-01-01 02:30:00,4.897000000,79.100000000,0.083000000,73.945205920
2017-01-01 02:40:00,5.020000000,79.700000000,0.081000000,73.308881700
2017-01-01 02:50:00,5.407000000,78.500000000,0.082000000,72.266021234
2017-01-01 03:00:00,5.169000000,77.900000000,0.083000000,71.334738286
2017-01-01 03:10:00,5.081000000,77.700000000,0.084000000,70.826827667
2017-01-01 03:20:00,5.041000000,77.200000000,0.081000000,70.326839094
2017-01-01 03:30:00,5.034000000,76.900000000,0.083000000,70.119295765
2017-01-01 03:40:00,4.896000000,76.600000000,0.085000000,69.263088325
2017-01-01 03:50:00,4.805000000,76.200000000,0.081000000,68.664774435
2017-01-01 04:00:00,4.753000000,75.700000000,0.083000000,68.679060411
2017-01-01 04:10:00,4.901000000,74.400000000,0.083000000,68.730653883
2017-01-01 04:20:00,5.203000000,74.100000000,0.085000000,68.333847309
2017-01-01 04:30:00,5.394000000,71.900000000,0.081000000,68.231360823
2017-01-01 04:40:00,5.156000000,74.000000000,0.079000000,68.276383769
2017-01-01 04:50:00,5.179000000,74.200000000,0.083000000,67.969054731
2017-01-01 05:00:00,4.934000000,72.900000000,0.082000000,68.195362921
2017-01-01 05:10:00,4.718000000,75.800000000,0.080000000,68.177607305
2017-01-01 05:20:00,5.546000000,74.000000000,0.082000000,68.402659793
2017-01-01 05:30:00,4.658000000,73.500000000,0.080000000,69.194068115
2017-01-01 05:40:00,4.382000000,76.900000000,0.081000000,69.640376521
2017-01-01 05:50:00,4.212000000,78.300000000,0.081000000,71.403661733
2017-01-01 06:00:00,4.308000000,77.200000000,0.081000000,73.359556629
2017-01-01 06:10:00,4.735000000,74.300000000,0.080000000,72.376418447
2017-01-01 06:20:00,4.769000000,75.600000000,0.082000000,71.685569769
2017-01-01 06:30:00,4.920000000,73.700000000,0.083000000,71.241563939
2017-01-01 06:40:00,4.408000000,76.700000000,0.082000000,70.676930085
2017-01-01 06:50:00,4.290000000,77.000000000,0.085000000,68.453832738
2017-01-01 07:00:00,4.304000000,76.000000000,0.082000000,65.653383850
2017-01-01 07:10:00,4.513000000,74.600000000,0.084000000,62.240064106
2017-01-01 07:20:00,4.489000000,74.300000000,0.082000000,59.206384999
2017-01-01 07:30:00,4.356000000,72.300000000,0.082000000,57.287330202
2017-01-01 07:40:00,4.478000000,72.200000000,0.083000000,56.226017662
2017-01-01 07:50:00,4.583000000,71.000000000,0.083000000,56.550581818
2017-01-01 08:00:00,4.794000000,72.000000000,0.084000000,57.381318347
2017-01-01 08:10:00,4.807000000,73.100000000,0.082000000,58.995211173
2017-01-01 08:20:00,4.757000000,73.500000000,0.083000000,60.542866040
2017-01-01 08:30:00,4.509000000,74.500000000,0.084000000,61.560113066
2017-01-01 08:40:00,4.346000000,74.800000000,0.082000000,62.631078088
2017-01-01 08:50:00,4.718000000,73.700000000,0.081000000,64.570142115
2017-01-01 09:00:00,4.704000000,71.800000000,0.083000000,66.559841365
2017-01-01 09:10:00,4.624000000,74.100000000,0.082000000,68.313468234
2017-01-01 09:20:00,4.629000000,74.800000000,0.083000000,70.241916603
2017-01-01 09:30:00,4.599000000,74.000000000,0.082000000,72.073562076
2017-01-01 09:40:00,4.524000000,74.700000000,0.081000000,74.055469702
2017-01-01 09:50:00,4.575000000,74.500000000,0.082000000,76.444012371
2017-01-01 10:00:00,5.124000000,73.700000000,0.076000000,78.347462370
2017-01-01 10:10:00,5.836000000,71.300000000,2.660000000,80.508627493
2017-01-01 10:20:00,5.996000000,69.850000000,4.930000000,81.854557130
2017-01-01 10:30:00,6.220000000,68.810000000,4.924000000,83.423289608
2017-01-01 10:40:00,6.703000000,68.010000000,4.923000000,85.334386651
2017-01-01 10:50:00,6.993000000,66.140000000,4.918000000,86.774611788
2017-01-01 11:00:00,7.540000000,64.210000000,4.916000000,88.572763559
2017-01-01 11:10:00,8.220000000,61.900000000,4.916000000,89.324265474
2017-01-01 11:20:00,9.490000000,59.300000000,2.451000000,90.252888296
